user_id,image_downloads_week1,smart_crop_used_week1,avg_session_time_min_week1,num_searches_week1,saved_to_favorites_week1,nsm_achieved_week2,retention_status_week_8
1,25,0,15,10,0,0,0
2,32,1,28,25,1,1,1
3,18,0,10,8,0,0,0
4,45,1,35,30,1,1,1
5,28,0,20,12,0,0,0
6,38,1,30,28,1,1,1
7,12,0,7,5,0,0,0
8,50,1,40,38,1,1,1
9,22,0,14,9,0,0,0
10,30,1,27,24,1,1,1
11,15,0,9,7,0,0,0
12,48,1,37,35,1,1,1
13,20,0,13,10,0,0,0
14,35,1,29,26,1,1,1
15,10,0,6,4,0,0,0
16,42,1,33,31,1,1,1
17,26,0,16,11,0,0,0
18,31,1,26,23,1,1,1
19,17,0,11,8,0,0,0
20,40,1,31,29,1,1,1
21,23,0,15,9,0,0,0
22,36,1,29,27,1,1,1
23,9,0,5,3,0,0,0
24,47,1,36,34,1,1,1
25,29,0,21,13,0,0,0
26,33,1,28,25,1,1,1
27,14,0,8,6,0,0,0
28,52,1,41,39,1,1,1
29,21,0,13,9,0,0,0
30,37,1,30,28,1,1,1
31,16,0,10,7,0,0,0
32,44,1,34,32,1,1,1
33,27,0,17,12,0,0,0
34,39,1,32,30,1,1,1
35,11,0,7,5,0,0,0
36,49,1,38,36,1,1,1
37,24,0,15,10,0,0,0
38,34,1,29,26,1,1,1
39,8,0,4,2,0,0,0
40,51,1,40,37,1,1,1
41,20,0,12,8,0,0,0
42,30,1,27,24,1,1,1
43,13,0,7,5,0,0,0
44,46,1,35,33,1,1,1
45,25,0,16,11,0,0,0
46,32,1,28,25,1,1,1
47,19,0,11,8,0,0,0
48,43,1,33,31,1,1,1
49,28,0,19,12,0,0,0
50,38,1,30,28,1,1,1
51,10,0,6,4,0,0,0
52,45,1,35,30,1,1,1
53,22,0,14,9,0,0,0
54,35,1,29,26,1,1,1
55,15,0,9,7,0,0,0
56,48,1,37,35,1,1,1
57,20,0,13,10,0,0,0
58,31,1,26,23,1,1,1
59,17,0,11,8,0,0,0
60,40,1,31,29,1,1,1
61,23,0,15,9,0,0,0
62,36,1,29,27,1,1,1
63,9,0,5,3,0,0,0
64,47,1,36,34,1,1,1
65,29,0,21,13,0,0,0
66,33,1,28,25,1,1,1
67,14,0,8,6,0,0,0
68,52,1,41,39,1,1,1
69,21,0,13,9,0,0,0
70,37,1,30,28,1,1,1
71,16,0,10,7,0,0,0
72,44,1,34,32,1,1,1
73,27,0,17,12,0,0,0
74,39,1,32,30,1,1,1
75,11,0,7,5,0,0,0
76,49,1,38,36,1,1,1
77,24,0,15,10,0,0,0
78,34,1,29,26,1,1,1
79,8,0,4,2,0,0,0
80,51,1,40,37,1,1,1
81,20,0,12,8,0,0,0
82,30,1,27,24,1,1,1
83,13,0,7,5,0,0,0
84,46,1,35,33,1,1,1
85,25,,,,,,